Model,Attack Mode,Uses Calibrated Probabilities,Recall (clean),Recall (adversarial),Recall Drop,Attack Success Rate,Harmful Attack Success Rate,Harmful Flagged Attack Success Rate,Mean P(Risky) Clean,Mean P(Risky) Adversarial,Mean Δp(risky) [adv−clean],Median Δp(risky) [adv−clean],Std Δp(risky) [adv−clean],"False Safe Rate (adv, risky)","False Safe Rate (adv, flagged+risky)","False Safe Rate (adv, all flagged)"
Baseline,replace,False,0.8203072812291249,0.9993319973279893,-0.1790247160988644,0.0012605042016806723,0.0,0.0,0.42747122,0.47125188,0.04378064,0.0456184,0.19081664,0.0006680026720106881,0.014492753623188406,0.004329004329004329
Regulatory,replace,False,0.7915831663326653,1.0,-0.20841683366733466,0.0,0.0,0.0,0.4274974,0.6105566,0.18305917,0.16556323,0.18101928,0.0,0.0,0.0
